MFACTOR|MFACTORNAME|ST_CASE|VEH_NO|STATE|YEAR|VEHICLECC
0|None|480227|1|48|2017|
0|None|480228|1|48|2017|
0|None|480229|1|48|2017|
0|None|480230|1|48|2017|
0|None|480230|2|48|2017|
0|None|480230|3|48|2017|
0|None|480231|1|48|2017|
0|None|480232|1|48|2017|
0|None|480233|1|48|2017|
0|None|480233|2|48|2017|
0|None|480234|1|48|2017|
0|None|480235|1|48|2017|
0|None|480236|1|48|2017|
0|None|480237|1|48|2017|
0|None|480237|2|48|2017|
0|None|480238|1|48|2017|
0|None|480238|2|48|2017|
0|None|480239|1|48|2017|
0|None|480240|1|48|2017|
0|None|480241|1|48|2017|
0|None|480242|1|48|2017|
0|None|480242|2|48|2017|
0|None|480243|1|48|2017|
0|None|480244|1|48|2017|
0|None|480244|2|48|2017|
0|None|480245|1|48|2017|
0|None|480245|2|48|2017|
0|None|480246|1|48|2017|
97|Other|480246|2|48|2017|
0|None|480247|1|48|2017|
0|None|480247|2|48|2017|
0|None|480247|3|48|2017|
0|None|480248|1|48|2017|
0|None|480249|1|48|2017|
0|None|480250|1|48|2017|
0|None|480252|1|48|2017|
0|None|480253|1|48|2017|
0|None|480253|2|48|2017|
0|None|480254|1|48|2017|
0|None|480255|1|48|2017|
0|None|480255|2|48|2017|
0|None|480256|1|48|2017|
0|None|480256|2|48|2017|
0|None|480256|3|48|2017|
0|None|480256|4|48|2017|
0|None|480256|5|48|2017|
0|None|480257|1|48|2017|
0|None|480257|2|48|2017|
0|None|480258|1|48|2017|
0|None|480258|2|48|2017|
0|None|480259|1|48|2017|
0|None|480259|2|48|2017|
0|None|480260|1|48|2017|
0|None|480260|2|48|2017|
0|None|480261|1|48|2017|
0|None|480261|2|48|2017|
0|None|480262|1|48|2017|
0|None|480263|1|48|2017|
0|None|480263|2|48|2017|
0|None|480264|1|48|2017|
0|None|480265|1|48|2017|
0|None|480266|1|48|2017|
0|None|480266|2|48|2017|
0|None|480267|1|48|2017|
0|None|480267|2|48|2017|
0|None|480268|1|48|2017|
0|None|480268|2|48|2017|
0|None|480269|1|48|2017|
0|None|480270|1|48|2017|
0|None|480271|1|48|2017|
0|None|480271|2|48|2017|
0|None|480272|1|48|2017|
0|None|480273|1|48|2017|
0|None|480274|1|48|2017|
0|None|480274|2|48|2017|
0|None|480275|1|48|2017|
0|None|480276|1|48|2017|
0|None|480277|1|48|2017|
0|None|480278|1|48|2017|
0|None|480279|1|48|2017|
0|None|480280|1|48|2017|
0|None|480280|2|48|2017|
0|None|480281|1|48|2017|
0|None|480281|2|48|2017|
0|None|480282|1|48|2017|
0|None|480282|2|48|2017|
0|None|480283|1|48|2017|
0|None|480283|2|48|2017|
0|None|480284|1|48|2017|
0|None|480285|1|48|2017|
0|None|480286|1|48|2017|
0|None|480286|2|48|2017|
0|None|480287|1|48|2017|
0|None|480288|1|48|2017|
0|None|480289|1|48|2017|
0|None|480289|2|48|2017|
0|None|480291|1|48|2017|
0|None|480292|1|48|2017|
0|None|480293|1|48|2017|
0|None|480294|1|48|2017|
0|None|480295|1|48|2017|
0|None|480296|1|48|2017|
0|None|480296|2|48|2017|
0|None|480297|1|48|2017|
0|None|480297|2|48|2017|
0|None|480298|1|48|2017|
0|None|480299|1|48|2017|
0|None|480299|2|48|2017|
0|None|480300|1|48|2017|
0|None|480301|1|48|2017|
0|None|480301|2|48|2017|
0|None|480301|3|48|2017|
0|None|480302|1|48|2017|
0|None|480303|1|48|2017|
0|None|480304|1|48|2017|
0|None|480304|2|48|2017|
0|None|480305|1|48|2017|
0|None|480306|1|48|2017|
0|None|480306|2|48|2017|
0|None|480307|1|48|2017|
0|None|480308|1|48|2017|
0|None|480309|1|48|2017|
0|None|480310|1|48|2017|
0|None|480310|2|48|2017|
0|None|480310|3|48|2017|
0|None|480311|1|48|2017|
0|None|480312|1|48|2017|
0|None|480312|2|48|2017|
0|None|480313|1|48|2017|
0|None|480314|1|48|2017|
0|None|480314|2|48|2017|
0|None|480315|1|48|2017|
0|None|480315|2|48|2017|
0|None|480316|1|48|2017|
0|None|480317|1|48|2017|
0|None|480318|1|48|2017|
0|None|480319|1|48|2017|
99|Unknown|480320|1|48|2017|
99|Unknown|480321|1|48|2017|
99|Unknown|480322|1|48|2017|
0|None|480323|1|48|2017|
0|None|480323|2|48|2017|
0|None|480324|1|48|2017|
0|None|480324|2|48|2017|
